line_name,description,total_boarding,tm2_mode,line_mode,headway,fare_system,vehicle_mode
15__178_PM_d0_s451,Shadelands/BART PH,70.84335327148438,42,f,11.89,17,f
15__178_PM_d1_s452,Shadelands/BART PH,18.04903221130371,42,f,12.68,17,f
15__179_PM_d0_s453,DVC/BART Walnut Creek,36.87754601240158,42,m,38.03,15,m
15__179_PM_d1_s454,DVC/BART Walnut Creek,1.3195159435272217,42,m,31.7,15,m
15__180_PM_d0_s455,Concord Commuter Express,0,86,n,38.03,16,n
15__181_PM_d0_s456,ACE Express,0.10416746884584427,86,n,63.39,16,n
15__181_PM_d1_s457,ACE Express,3.5,86,n,63.39,16,n
15__182_PM_d0_s458,Kirker Pass Express,71.27565562725067,86,n,26.94,16,n
15__183_PM_d0_s460,San Ramon/BART Walnut Creek,0.5208592414855957,86,n,47.54,16,n
15__183_PM_d1_s461,San Ramon/BART Walnut Creek,0.13973180949687958,86,n,38.03,16,n
15__184_PM_d0_s462,BART Walnut Creek/Bishop Ranch,0,86,n,14.26,16,n
15__184_PM_d1_s463,BART Walnut Creek/Bishop Ranch,0.33526816964149475,86,n,15.85,16,n
15__185_PM_d0_s464,BART Dublin/Bishop Ranch,0,86,n,47.54,16,n
15__185_PM_d1_s465,BART Dublin/Bishop Ranch,0,86,n,47.54,16,n
15__186_PM_d0_s466,Martinez/BART Walnut Creek,48.4433354139328,86,n,38.03,16,n
15__186_PM_d1_s467,Martinez/BART Walnut Creek,338.63292445242405,86,n,38.03,16,n
15__187_PM_d0_s468,Monument Blvd,1.3499999940395355,42,m,31.7,15,m
15__187_PM_d1_s469,Monument Blvd,114.17638397216797,42,m,31.7,15,m
15__188_PM_d0_s470,Treat Blvd,39.7873817384243,42,m,47.54,15,m
15__188_PM_d1_s471,Treat Blvd,25.867877960205078,42,m,47.54,15,m
15__189_PM_d0_s472,AMTRAK/BART Concord,45.623250246047974,42,m,31.7,15,m
15__189_PM_d1_s473,AMTRAK/BART Concord,48.93331599235535,42,m,31.7,15,m
15__190_PM_d0_s474,BART Concord/North Concord,14.395310401916504,42,m,38.03,15,m
