station,district,route,direction,type,latitude,longitude,distlink,pemsonlink,shstReferenceId,A,B,model_link_id,A_B
407171,4,680,N,FR,37.355375,-121.838389,0.0002811389713074,2,ded071f9b03fe40693f007db077943a5,2083444,2168951,2237776,2083444_2168951
407172,4,680,N,ML,37.341738,-121.848369,2.9665092430642e-05,2,bc89eb5344f8773b4f85b99a1c9da58e,2039851,2169463,2201284,2039851_2169463
407173,4,680,N,ML,37.342007,-121.847982,1.20813790993996e-05,2,bc89eb5344f8773b4f85b99a1c9da58e,2039851,2169463,2201284,2039851_2169463
407174,4,680,N,ML,37.40088,-121.876103,3.45865767803962e-05,1,5a28db82147913a1a4105e0355691277,2084534,2101952,2096393,2084534_2101952
407176,4,680,N,ML,37.358523,-121.840267,5.80276789003818e-05,1,ded071f9b03fe40693f007db077943a5,2083444,2168951,2237776,2083444_2168951
407177,4,680,N,ML,37.360223,-121.841285,6.34667093893336e-05,1,f7cb2bdd15f95785b5cf34d6e8f7d525,2168951,2125665,2264542,2168951_2125665
407178,4,680,N,FR,37.365983,-121.844705,0.0003012805531402,1,df2105752d16e7b287097b7426caecc4,2109369,2080662,2238116,2109369_2080662
407179,4,680,N,ML,37.368611,-121.846609,1.86928917297061e-05,1,df2105752d16e7b287097b7426caecc4,2109369,2080662,2238116,2109369_2080662
407180,4,680,N,ML,37.372785,-121.850839,4.44271409251187e-05,2,55453628dbc061688ade44d3d0d7bd81,2080662,2041121,2091241,2080662_2041121
407184,4,680,S,ML,37.427403,-121.884848,3.47367196019702e-05,3,bea7dba8a4a871b7caf1c566bff66906,2147553,2051695,2203571,2147553_2051695
407185,4,680,S,ML,37.420881,-121.882423,7.26648710029133e-05,3,bea7dba8a4a871b7caf1c566bff66906,2147553,2051695,2203571,2147553_2051695
407186,4,680,S,ML,37.391614,-121.870798,1.67163602911028e-05,1,eb7d5b8b8ec3bc563a8187db8ebda91b,2165131,2090379,2251257,2165131_2090379
407187,4,680,S,ML,37.383139,-121.861675,1.0688151225457e-05,1,402b540fdb3b81a8086bbc1bc0526a60,2062936,2162244,2068621,2062936_2162244
407189,4,680,S,FR,37.416221,-121.881079,0.0012059601529929,1,4d12426b371a65a36d899d90d92ff12a,2051695,2054123,2082536,2051695_2054123
