line_name,description,total_boarding,total_hour_cap,tm2_mode,line_mode,headway,fare_system
30_AC Transit_17_AM_d1_s47,Fremont BART-U.C. BART-Mission-Ohlone Newark,0,63.0,30,s,60.0,9
30_AC Transit_18_AM_d0_s48,Fremont BART-Warm Springs,0,78.75,30,s,48.0,9
30_AC Transit_18_AM_d1_s49,Fremont BART-Warm Springs,0,63.0,30,s,60.0,9
30_AC Transit_19_AM_d0_s50,El Cerrito BART-Cntr & Shatt-UC Village,0,78.75,30,s,48.0,9
30_AC Transit_19_AM_d1_s51,El Cerrito BART-Cntr & Shatt-UC Village,0,78.75,30,s,48.0,9
30_AC Transit_20_AM_d0_s52,Fremont BART-Mowry-Thornton,0,63.0,30,s,60.0,9
30_AC Transit_20_AM_d1_s53,Fremont BART-Mowry-Thornton,0,63.0,30,s,60.0,9
30_AC Transit_21_AM_d0_s54,Emeryville/14th Bdwy/lLakeshore,0,180.0,30,s,21.0,9
30_AC Transit_21_AM_d1_s58,Emeryville/14th Bdwy/lLakeshore,0,189.0,30,s,20.0,9
30_AC Transit_22_AM_d0_s60,U.C.BART- Thornton- Lido Faire,0,78.75,30,s,48.0,9
30_AC Transit_22_AM_d1_s59,U.C.BART- Thornton- Lido Faire,0,94.5,30,s,40.0,9
30_AC Transit_23_AM_d0_s61,Alameda Point/ W. Oakland/MACA BART,0,126.0,30,s,30.0,9
30_AC Transit_23_AM_d1_s62,Alameda Point/ W. Oakland/MACA BART,0,126.0,30,s,30.0,9
30_AC Transit_24_AM_d0_s63,Hayward Bart-C.V. Bart-Hwd. Bart-Cherryland,0,47.25,30,s,80.0,9
30_AC Transit_24_AM_d1_s64,Hayward Bart-C.V. Bart-Hwd. Bart-Cherryland,0,63.0,30,s,60.0,9
30_AC Transit_25_AM_d0_s66,Fruitvale Bart - Chabot Observatory,0,15.75,30,s,240.0,9
30_AC Transit_25_AM_d1_s65,Fruitvale Bart - Chabot Observatory,0,15.75,30,s,240.0,9
30_AC Transit_27_AM_d0_s69,HWD. BART-WHITMAN-SO. HWD. BART,0,63.0,30,s,60.0,9
30_AC Transit_27_AM_d1_s70,HWD. BART-WHITMAN-SO. HWD. BART,0,63.0,30,s,60.0,9
30_AC Transit_29_AM_d0_s74,Fruitvale Bart - Skyline High School,0,63.0,30,s,60.0,9
30_AC Transit_29_AM_d1_s73,Fruitvale Bart - Skyline High School,0,63.0,30,s,60.0,9
30_AC Transit_2_AM_d0_s5,Bayfair Bart- Dtn. Berkeley,0,331.7647058823529,30,s,17.0,9
30_AC Transit_2_AM_d1_s3,Bayfair Bart- Dtn. Berkeley,0,352.5,30,s,16.0,9
30_AC Transit_30_AM_d0_s75,Dtn. Oakland - Bayfair Bart,0,533.3333333333334,30,s,9.0,9
30_AC Transit_30_AM_d1_s77,Dtn. Oakland - Bayfair Bart,0,480.0,30,s,10.0,9
30_AC Transit_31_AM_d0_s79,Eastmont T. C. - Foothill Sq.,0,180.0,30,s,21.0,9
30_AC Transit_31_AM_d1_s80,Eastmont T. C. - Foothill Sq.,0,180.0,30,s,21.0,9
30_AC Transit_32_AM_d0_s81,Coliseum Bart - Knowland Zoo,0,63.0,30,s,60.0,9
30_AC Transit_32_AM_d1_s84,Coliseum Bart - Knowland Zoo,0,63.0,30,s,60.0,9
30_AC Transit_33_AM_d0_s85,Coliseum BART-Mountain -Golf Links Rd-Dunkirk Ave,0,63.0,30,s,60.0,9
30_AC Transit_33_AM_d1_s86,Coliseum BART-Mountain -Golf Links Rd-Dunkirk Ave,0,63.0,30,s,60.0,9
30_AC Transit_34_AM_d0_s87,Fruitvale Bart - Maxwell Park,0,63.0,30,s,60.0,9
30_AC Transit_34_AM_d1_s88,Fruitvale Bart - Maxwell Park,0,63.0,30,s,60.0,9
30_AC Transit_35_AM_d0_s89,Bayfair BART- Castro Valley- Hayward bart,0,63.0,30,s,60.0,9
